Seller Name,,Alpha Trade Corp,Omega Distribution,Nova Traders Ltd,Titan Power Group,Sparkline Pvt Ltd,EchoGrid Solutions,Zenith Networks,Quantum Flux Ltd,BlazeTrade Inc,GridLogic Partners,NeoSpark Ventures,DeltaCore Energy,
13,03:00-03:15,0,-20,-46,0,-100,-200,-200,0,-37.76,-69.04,-29.62,-100,-802.42
14,03:15-03:30,0,-20,-46,0,-100,-200,-200,0,-37.76,-69.04,-29.62,-100,-802.42
15,03:30-03:45,0,-20,-46,0,-100,-200,-200,0,-37.76,-69.04,-29.62,-100,-802.42
16,03:45-04:00,0,-20,-46,0,-100,-200,-200,0,-37.76,-69.04,-29.62,-100,-802.42
17,04:00-04:15,0,-20,-46,0,-100,-200,-200,0,-37.76,-69.04,-29.62,-100,-802.42
18,04:15-04:30,0,-20,-46,0,-100,-200,-200,0,-37.76,-69.04,-29.62,-100,-802.42
19,04:30-04:45,0,-20,-46,0,-100,-200,-200,0,-37.76,-69.04,-29.62,-100,-802.42
20,04:45-05:00,0,-20,-46,0,-100,-200,-200,0,-37.76,-69.04,-29.62,-100,-802.42
21,05:00-05:15,0,-17.24,-46,0,-100,-200,-200,0,-37.76,0,-29.62,-100,-730.62
22,05:15-05:30,0,-17.24,-46,0,-100,-200,-200,0,-37.76,0,-29.62,-100,-730.62
23,05:30-05:45,0,-17.24,-46,0,-100,-200,-200,0,-37.76,0,-29.62,-100,-730.62
24,05:45-06:00,0,-17.24,-46,0,-100,-200,-200,0,-37.76,0,-29.62,-100,-730.62
25,06:00-06:15,0,-17.24,-46,0,-100,-200,-200,0,-37.76,0,-29.62,-100,-730.62
26,06:15-06:30,0,-17.24,-46,0,-100,-200,-200,0,-37.76,0,-29.62,-100,-730.62
27,06:30-06:45,0,-17.24,-46,0,-100,-200,-200,0,-37.76,0,-29.62,-100,-730.62
28,06:45-07:00,0,-17.24,-46,0,-100,-200,-200,0,-37.76,0,-29.62,-100,-730.62
29,07:00-07:15,0,-17.24,-46,0,-100,-200,-200,0,-37.76,0,-29.62,-100,-730.62
30,07:15-07:30,0,-17.24,-46,0,-100,-200,-200,0,-37.76,0,-29.62,-100,-730.62
31,07:30-07:45,0,-17.24,-46,0,-100,-200,-200,0,-37.76,0,-29.62,-100,-730.62
32,07:45-08:00,0,-17.24,-46,0,-100,-200,-200,0,-37.76,0,-29.62,-100,-730.62
33,08:00-08:15,0,-17.24,-46,0,-100,0,-200,0,-37.76,0,0,-100,-501
34,08:15-08:30,0,-17.24,-46,0,-100,0,-200,0,-37.76,0,0,-100,-501
35,08:30-08:45,0,-17.24,-46,0,-100,0,-200,0,-37.76,0,0,-100,-501
36,08:45-09:00,0,-17.24,-46,0,-100,0,-200,0,-37.76,0,0,-100,-501
37,09:00-09:15,-17.24,0,0,-46,-100,0,-200,-100,0,0,0,0,-463.24
38,09:15-09:30,-17.24,0,0,-46,-100,0,-200,-100,0,0,0,0,-463.24
39,09:30-09:45,-17.24,0,0,-46,-100,0,-200,-100,0,0,0,0,-463.24
40,09:45-10:00,-17.24,0,0,-46,-100,0,-200,-100,0,0,0,0,-463.24
41,10:00-10:15,-17.24,0,0,-46,-100,0,-200,-100,0,0,0,0,-463.24
42,10:15-10:30,-17.24,0,0,-46,-100,0,-200,-100,0,0,0,0,-463.24
43,10:30-10:45,-17.24,0,0,-46,-100,0,-200,-100,0,0,0,0,-463.24
44,10:45-11:00,-17.24,0,0,-46,-100,0,-200,-100,0,0,0,0,-463.24
45,11:00-11:15,-17.24,0,0,-46,-100,0,-200,-100,0,0,0,0,-463.24
46,11:15-11:30,-17.24,0,0,-46,-100,0,-200,-100,0,0,0,0,-463.24
47,11:30-11:45,-17.24,0,0,-46,-100,0,-200,-100,0,0,0,0,-463.24
48,11:45-12:00,-17.24,0,0,-46,-100,0,-200,-100,0,0,0,0,-463.24
49,12:00-12:15,-17.24,0,0,-46,-100,0,-200,-100,0,0,0,0,-463.24
50,12:15-12:30,-17.24,0,0,-46,-100,0,-200,-100,0,0,0,0,-463.24
51,12:30-12:45,-17.24,0,0,-46,-100,0,-200,-100,0,0,0,0,-463.24
52,12:45-13:00,-17.24,0,0,-46,-100,0,-200,-100,0,0,0,0,-463.24
53,13:00-13:15,-17.24,0,0,-46,-100,0,-200,-100,0,0,0,0,-463.24
54,13:15-13:30,-17.24,0,0,-46,-100,0,-200,-100,0,0,0,0,-463.24
55,13:30-13:45,-17.24,0,0,-46,-100,0,-200,-100,0,0,0,0,-463.24
56,13:45-14:00,-17.24,0,0,-46,-100,0,-200,-100,0,0,0,0,-463.24
57,14:00-14:15,-17.24,0,0,-46,-100,0,-200,-100,0,0,0,0,-463.24
58,14:15-14:30,-17.24,0,0,-46,-100,0,-200,-100,0,0,0,0,-463.24
59,14:30-14:45,-17.24,0,0,-46,-100,0,-200,-100,0,0,0,0,-463.24
60,14:45-15:00,-17.24,0,0,-46,-100,0,-200,-100,0,0,0,0,-463.24
61,15:00-15:15,-17.24,0,0,-46,-100,0,-200,-100,0,0,0,0,-463.24
62,15:15-15:30,-17.24,0,0,-46,-100,0,-200,-100,0,0,0,0,-463.24
63,15:30-15:45,-17.24,0,0,-46,-100,0,-200,-100,0,0,0,0,-463.24
64,15:45-16:00,-17.24,0,0,-46,-100,0,-200,-100,0,0,0,0,-463.24
65,16:00-16:15,0,-17.24,-46,0,-100,0,-200,0,-37.76,0,0,-100,-501
66,16:15-16:30,0,-17.24,-46,0,-100,0,-200,0,-37.76,0,0,-100,-501
67,16:30-16:45,0,-17.24,-46,0,-100,0,-200,0,-37.76,0,0,-100,-501
68,16:45-17:00,0,-17.24,-46,0,-100,0,-200,0,-37.76,0,0,-100,-501
69,17:00-17:15,0,-17.24,-46,0,-100,0,-200,0,-37.76,0,0,-100,-501
70,17:15-17:30,0,-17.24,-46,0,-100,0,-200,0,-37.76,0,0,-100,-501
71,17:30-17:45,0,-17.24,-46,0,-100,0,-200,0,-37.76,0,0,-100,-501
72,17:45-18:00,0,-17.24,-46,0,-100,0,-200,0,-37.76,0,0,-100,-501
73,18:00-18:15,0,-17.36,-46,0,-100,0,-200,0,-37.76,0,0,-100,-501.12
74,18:15-18:30,0,-17.36,-46,0,-100,0,-200,0,-37.76,0,0,-100,-501.12
75,18:30-18:45,0,-20,-46,0,-100,0,-200,0,-37.76,-69.04,-29.62,-100,-602.42
76,18:45-19:00,0,-20,-46,0,-100,0,-200,0,-37.76,-69.04,-29.62,-100,-602.42
77,19:00-19:15,0,-20,-46,0,-100,0,-200,0,-37.76,-69.04,-29.62,-100,-602.42
78,19:15-19:30,0,-20,-46,0,-100,0,-200,0,-37.76,-69.04,-29.62,-100,-602.42
79,19:30-19:45,0,-20,-46,0,-100,0,-200,0,-37.76,-69.04,-29.62,-100,-602.42
80,19:45-20:00,0,-20,-46,0,-100,0,-200,0,-37.76,-69.04,-29.62,-100,-602.42
81,20:00-20:15,0,-20,-46,0,-100,0,-200,0,-37.76,-69.04,-29.62,-100,-602.42
82,20:15-20:30,0,-20,-46,0,-100,0,-200,0,-37.76,-69.04,-29.62,-100,-602.42
83,20:30-20:45,0,-20,-46,0,-100,0,-200,0,-37.76,-69.04,-29.62,-100,-602.42
84,20:45-21:00,0,-20,-46,0,-100,0,-200,0,-37.76,-69.04,-29.62,-100,-602.42
85,21:00-21:15,0,-20,-46,0,-100,0,-200,0,-37.76,-69.04,-29.62,-100,-602.42
86,21:15-21:30,0,-20,-46,0,-100,0,-200,0,-37.76,-69.04,-29.62,-100,-602.42
87,21:30-21:45,0,-20,-46,0,-100,0,-200,0,-37.76,-69.04,-29.62,-100,-602.42
88,21:45-22:00,0,-20,-46,0,-100,0,-200,0,-37.76,-69.04,-29.62,-100,-602.42
89,22:00-22:15,0,-20,-46,0,-100,0,-200,0,-37.76,-69.04,-29.62,-100,-602.42
90,22:15-22:30,0,-20,-46,0,-100,0,-200,0,-37.76,-69.04,-29.62,-100,-602.42
91,22:30-22:45,0,-20,-46,0,-100,0,-200,0,-37.76,-69.04,-29.62,-100,-602.42
92,22:45-23:00,0,-20,-46,0,-100,0,-200,0,-37.76,-69.04,-29.62,-100,-602.42
93,23:00-23:15,0,-20,-46,0,-100,0,-200,0,-37.76,-69.04,-29.62,-100,-602.42
94,23:15-23:30,0,-20,-46,0,-100,0,-200,0,-37.76,-69.04,-29.62,-100,-602.42
95,23:30-23:45,0,-20,-46,0,-100,0,-200,0,-37.76,-69.04,-29.62,-100,-602.42
96,23:45-24:00,0,-20,-46,0,-100,0,-200,0,-37.76,-69.04,-29.62,-100,-602.42
,Average,-5.03,-13.42,-32.58,-13.42,-100,-58.33,-200,-29.17,-26.75,-30.2,-16.66,-70.83,-596.4
,Maximum,0,0,0,0,-100,0,-200,0,0,0,0,0,-463.24
,Minimum,-17.24,-20,-46,-46,-100,-200,-200,-100,-37.76,-69.04,-29.62,-100,-802.42
,Final,-120.68,-322.12,-782,-322,-2400,-1400,-4800,-700,-641.92,-724.92,-399.87,-1700,-14313.51
