Seller Name,,PowerRay Traders,LightStream Power,SolarNova LLP,ChargePoint Group,BrightPulse Inc,GreenAxis Pvt Ltd,ClearGrid Exchange,VoltWise Distributors,LumenFlex Pvt Ltd,ZenPower Group,EnerGlow Corp,GridNova Pvt Ltd,
10,02:15-02:30,-21.57,-36,0,0,-50,-275.31,0,-22.22,-42.55,125,75,0,114.94
11,02:30-02:45,-21.57,-36,0,0,-50,-275.31,0,-22.22,-42.55,125,75,0,112.37
12,02:45-03:00,-21.57,-36,0,0,-50,-275.31,0,-22.22,-42.55,125,75,0,113.03
13,03:00-03:15,-21.57,-36,0,0,0,-275.31,0,-22.22,-42.55,125,75,0,149.46
14,03:15-03:30,-21.57,-36,0,0,0,-275.31,0,-22.22,-42.55,125,75,0,146.83
15,03:30-03:45,-21.57,-36,0,0,0,-275.31,0,-22.22,-42.55,125,62,0,128.58
16,03:45-04:00,-21.57,-36,0,0,0,-275.31,0,-22.22,-42.55,125,49,0,115.08
17,04:00-04:15,-21.57,-36,0,0,0,-275.31,0,-22.22,-42.55,125,38.3,0,109.35
18,04:15-04:30,-21.57,-36,0,0,0,-275.31,0,-22.22,-42.55,125,47.3,0,125.75
19,04:30-04:45,-21.57,-36,0,0,0,-275.31,0,-22.22,-42.55,125,43,0,133.26
20,04:45-05:00,-21.57,-36,0,0,0,-275.31,0,-22.22,-42.55,125,47.1,0,142.72
21,05:00-05:15,-21.57,-36,0,0,-50,0,0,-22.22,-42.55,125,60.1,0,386.4
22,05:15-05:30,-21.57,-36,0,0,-50,0,0,-22.22,-42.55,125,72.4,0,398.7
23,05:30-05:45,-21.57,-36,0,0,-50,0,0,-22.22,-42.55,125,68.1,0,394.4
24,05:45-06:00,-21.57,-36,0,0,-50,0,0,-22.22,-42.55,125,75,0,401.3
25,06:00-06:15,-21.57,-36,0,0,-50,0,0,-22.22,-42.55,125,75,0,401.3
26,06:15-06:30,-21.57,-36,0,0,-50,0,0,-22.22,-42.55,125,75,0,401.32
27,06:30-06:45,-21.57,-36,0,0,-50,0,0,-22.22,-42.55,125,75,0,401.37
28,06:45-07:00,-21.57,-36,0,0,-50,0,0,-22.22,-42.55,125,75,0,401.45
29,07:00-07:15,-21.57,-36,0,0,-50,0,0,-22.22,-42.55,125,75,0.61,398.11
30,07:15-07:30,-21.57,-36,0,0,-50,0,0,-22.22,-42.55,125,75,1.22,388.95
31,07:30-07:45,-21.57,-36,0,0,-50,0,0,-22.22,-42.55,125,75,3.41,376.7
32,07:45-08:00,-21.57,-36,0,0,-50,0,0,-22.22,-42.55,125,75,5.24,366.1
33,08:00-08:15,-21.57,-36,0,0,0,0,0,-22.22,-42.55,125,75,5.46,413.48
34,08:15-08:30,-21.57,-36,0,0,0,0,0,-22.22,-42.55,125,75,5.54,415.83
35,08:30-08:45,-21.57,-36,0,0,0,0,0,-22.22,-42.55,125,62,6.15,403.62
36,08:45-09:00,-21.57,-36,0,0,0,0,0,-22.22,-42.55,125,49,7.53,389.36
37,09:00-09:15,-21.57,-36,-69.43,-69.43,0,0,0,-22.22,-42.55,95,41.3,9.43,207.55
38,09:15-09:30,-21.57,-36,-69.43,-69.43,0,0,0,-22.22,-42.55,65,41.3,9.62,178.2
39,09:30-09:45,-21.57,-36,-69.43,-69.43,0,0,0,-22.22,-42.55,35,41.3,10.97,150
40,09:45-10:00,-21.57,-36,-69.43,-69.43,0,0,0,-22.22,-42.55,25,41.3,11.21,139.67
41,10:00-10:15,-21.57,-36,-69.43,-69.43,0,0,0,-22.22,-42.55,25,41.3,11.41,93
42,10:15-10:30,-21.57,-36,-69.43,-69.43,0,0,0,-22.22,-42.55,25,41.3,12.43,94.99
43,10:30-10:45,-21.57,-36,-69.43,-69.43,0,0,0,-22.22,-42.55,25,28.3,13.06,83.51
44,10:45-11:00,-21.57,-36,-69.43,-69.43,0,0,0,-22.22,-42.55,25,15,13.06,71.14
45,11:00-11:15,-21.57,-36,-69.43,-69.43,0,0,0,-22.22,-42.55,25,15,13.2,72.29
46,11:15-11:30,-21.57,-36,-69.43,-69.43,0,0,0,-22.22,-42.55,25,15,13.4,73.56
47,11:30-11:45,-21.57,-36,-69.43,-69.43,0,0,0,-22.22,-42.55,25,15,13.86,75.11
48,11:45-12:00,-21.57,-36,-69.43,-69.43,0,0,0,-22.22,-42.55,25,15,14.2,76.54
49,12:00-12:15,-21.57,-36,-69.43,-69.43,0,0,0,-22.22,-42.55,25,15,15.26,78.68
50,12:15-12:30,-21.57,-36,-69.43,-69.43,0,0,0,-22.22,-42.55,25,15,15.28,80.01
51,12:30-12:45,-21.57,-36,-69.43,-69.43,0,0,0,-22.22,-42.55,25,15,15.41,81.48
52,12:45-13:00,-21.57,-36,-69.43,-69.43,0,0,0,-22.22,-42.55,25,15,15.44,82.35
53,13:00-13:15,-21.57,-36,-69.43,-69.43,0,0,0,-22.22,-42.55,25,15,15.39,82.24
54,13:15-13:30,-21.57,-36,-69.43,-69.43,0,0,0,-22.22,-42.55,25,15,15.21,82.05
55,13:30-13:45,-21.57,-36,-69.43,-69.43,0,0,0,-22.22,-42.55,25,15,14.74,81.56
56,13:45-14:00,-21.57,-36,-69.43,-69.43,0,0,0,-22.22,-42.55,25,28,14.49,94.29
57,14:00-14:15,-21.57,-36,-69.43,-69.43,0,0,0,-22.22,-42.55,25,41,14.35,107.13
58,14:15-14:30,-21.57,-36,-69.43,-69.43,0,0,0,-22.22,-42.55,25,54,14.12,119.58
59,14:30-14:45,-21.57,-36,-69.43,-69.43,0,0,0,-22.22,-42.55,25,67,13.92,132.07
60,14:45-15:00,-21.57,-36,-69.43,-69.43,0,0,0,-22.22,-42.55,25,75,13.86,139.69
61,15:00-15:15,-21.57,-36,-69.43,-69.43,0,0,0,-22.22,-42.55,55,75,13.38,168.9
62,15:15-15:30,-21.57,-36,-69.43,-69.43,0,0,0,-22.22,-42.55,85,75,12.61,197.96
63,15:30-15:45,-21.57,-36,-69.43,-69.43,0,0,0,-22.22,-42.55,115,75,12.03,227.2
64,15:45-16:00,-21.57,-36,-69.43,-69.43,0,0,0,-22.22,-42.55,125,75,10.25,235.26
65,16:00-16:15,-21.57,-36,0,0,0,0,0,-22.22,-42.55,125,75,10.09,373.79
66,16:15-16:30,-21.57,-36,0,0,0,0,0,-22.22,-42.55,125,75,8.66,373.22
67,16:30-16:45,-21.57,-36,0,0,0,0,0,-22.22,-42.55,125,75,7.32,379.58
68,16:45-17:00,-21.57,-36,0,0,0,0,0,-22.22,-42.55,125,75,5.53,382.51
69,17:00-17:15,-21.57,-36,0,0,-50,0,0,-22.22,-42.55,125,75,4.43,336.13
70,17:15-17:30,-21.57,-36,0,0,-50,0,0,-22.22,-42.55,125,75,3.53,390.15
71,17:30-17:45,-21.57,-36,0,0,-50,0,0,-22.22,-42.55,125,75,1.56,399.33
72,17:45-18:00,-21.57,-36,0,0,-50,0,0,-22.22,-42.55,125,75,1.51,403.49
73,18:00-18:15,-21.57,-36,0,0,-50,0,0,-22.22,-42.55,125,75,1.4,403.22
74,18:15-18:30,-21.57,-36,0,0,-50,0,0,-22.22,-42.55,125,75,1.16,402.86
75,18:30-18:45,-21.57,-36,0,0,-50,0,0,-22.22,-42.55,125,75,0.62,402.21
76,18:45-19:00,-21.57,-36,0,0,-50,0,0,-22.22,-42.55,125,75,0.18,401.66
77,19:00-19:15,-21.57,-36,0,0,-50,0,0,-22.22,-42.55,125,75,0,401.38
78,19:15-19:30,-21.57,-36,0,0,-50,0,0,-22.22,-42.55,125,75,0,401.36
79,19:30-19:45,-21.57,-36,0,0,-50,0,0,-22.22,-42.55,125,75,0,401.3
80,21:15-21:30,-21.57,-36,0,0,-50,-275.31,-141.97,-22.22,-42.55,125,75,0,-15.98
81,21:30-21:45,-21.57,-36,0,0,-50,-275.31,-141.97,-22.22,-42.55,125,75,0,-15.98
82,21:45-22:00,-21.57,-36,0,0,-50,-275.31,-141.97,-22.22,-42.55,125,75,0,-15.98
83,22:00-22:15,-21.57,-36,0,0,-50,-275.31,-141.97,-22.22,-42.55,125,75,0,-15.98
84,22:15-22:30,-21.57,-36,0,0,-50,-275.31,-141.97,-22.22,-42.55,125,75,0,-15.98
85,22:30-22:45,-21.57,-36,0,0,-50,-275.31,-141.97,-22.22,-42.55,125,75,0,-15.98
86,22:45-23:00,-21.57,-36,0,0,-50,-275.31,-141.97,-22.22,-42.55,125,75,0,-15.98
87,23:00-23:15,-21.57,-36,0,0,-50,-275.31,-141.97,-22.22,-42.55,125,75,0,-15.98
88,23:15-23:30,-21.57,-36,0,0,-50,-275.31,-141.97,-22.22,-42.55,125,75,0,-15.98
89,23:30-23:45,-21.57,-36,0,0,-50,-275.31,-141.97,-22.22,-42.55,125,75,0,-15.98
90,23:45-24:00,-21.57,-36,0,0,-50,-275.31,-141.97,-22.22,-42.55,125,75,0,-15.98
,Average,-21.57,-36,-20.25,-20.25,-27.08,-97.51,-20.7,-22.22,-42.55,100,61.4,4.72,197.9
,Maximum,-21.57,-36,0,0,0,0,0,-22.22,-42.55,125,75,15.44,415.83
,Minimum,-21.57,-36,-69.43,-69.43,-50,-275.31,-141.97,-22.22,-42.55,25,15,0,-15.98
,Final,-517.68,-864,-486.01,-486.01,-650,-2340.14,-496.9,-533.28,-1021.2,2400,1473.6,113.18,4749.58
