Timestamp,VehicleID,Gear,EngineRPM,EngineTemp,OilPressure,Vibration
1/1/2024 1:21,VH_14,1,2162,86.1,44.9,1.03
1/1/2024 1:22,VH_23,2,1851,89,45.9,0.92
1/1/2024 1:23,VH_40,3,2151,88.4,55.4,0.96
1/1/2024 1:24,VH_21,1,2060,72.3,41.6,1.19
1/1/2024 1:25,VH_16,4,2627,100.1,48.3,0.99
1/1/2024 1:26,VH_45,3,2551,80.4,41,1.26
1/1/2024 1:27,VH_18,4,2232,87.6,46.6,0.9
1/1/2024 1:28,VH_47,4,1816,96,46,1.15
1/1/2024 1:29,VH_24,4,1832,104.6,49,0.91
1/1/2024 1:30,VH_26,1,2204,79.2,51,0.63
1/1/2024 1:31,VH_25,5,2300,85.5,42.1,0.8
1/1/2024 1:32,VH_45,3,2087,103.8,52.1,1.02
1/1/2024 1:33,VH_41,2,2055,94.6,52.4,1.38
1/1/2024 1:34,VH_29,5,2022,96.7,43.8,0.91
1/1/2024 1:35,VH_15,1,2192,79.5,45,0.97
1/1/2024 1:36,VH_45,4,1485,86.2,42.5,1.1
1/1/2024 1:37,VH_1,2,1869,88.3,43.5,0.88
1/1/2024 1:38,VH_25,3,2011,81.4,39,0.9
1/1/2024 1:39,VH_7,5,2562,73.3,48.9,1.01
1/1/2024 1:40,VH_9,5,1955,84.9,34.7,0.91
1/1/2024 1:41,VH_24,2,2254,103.5,41.5,0.64
1/1/2024 1:42,VH_1,1,2267,90.6,44.8,0.87
1/1/2024 1:43,VH_44,3,2589,103.7,51.5,1.12
1/1/2024 1:44,VH_8,2,2578,91.8,42.3,1.13
1/1/2024 1:45,VH_24,4,2182,82.4,47.1,1.27
1/1/2024 1:46,VH_11,3,2057,102.8,44.6,1.25
1/1/2024 1:47,VH_17,5,2000,92.1,49.7,0.82
1/1/2024 1:48,VH_8,2,2127,99.6,46.9,0.85
1/1/2024 1:49,VH_35,5,2069,79.3,49.2,0.86
1/1/2024 1:50,VH_35,5,2366,100.4,42.2,0.97
1/1/2024 1:51,VH_33,5,2326,100.7,39.9,0.88
1/1/2024 1:52,VH_5,1,2377,92.9,46.8,0.97
1/1/2024 1:53,VH_42,5,2577,81.9,42.6,0.83
1/1/2024 1:54,VH_39,4,2758,89.5,45.2,1.16
1/1/2024 1:55,VH_41,4,2237,96.1,46.6,0.81
1/1/2024 1:56,VH_28,3,2529,92.3,51.2,0.8
1/1/2024 1:57,VH_7,5,2094,96,48.9,1.1
1/1/2024 1:58,VH_9,5,2555,100.1,41.6,1.14
1/1/2024 1:59,VH_8,2,2518,83.5,39.3,0.95
1/1/2024 2:00,VH_12,1,2502,78.4,53.5,1.17
1/1/2024 2:01,VH_34,3,2228,89.6,37.1,1.16
1/1/2024 2:02,VH_33,5,1999,86.7,42.7,1.38
1/1/2024 2:03,VH_48,2,1781,97.9,48.2,1.15
1/1/2024 2:04,VH_23,1,2187,79.3,53.2,1.34
1/1/2024 2:05,VH_24,3,2659,100.2,44.1,1.01
1/1/2024 2:06,VH_37,3,2107,103.5,45.1,1.28
1/1/2024 2:07,VH_35,5,2435,90,40.6,1.28
1/1/2024 2:08,VH_44,3,2453,90.6,45.6,0.97
1/1/2024 2:09,VH_40,2,2114,82.3,39.2,0.86
1/1/2024 2:10,VH_22,3,2594,84.6,41.2,0.9
1/1/2024 2:11,VH_27,4,1327,85.9,48.8,1.08
1/1/2024 2:12,VH_35,2,1833,104.4,42.8,0.77
1/1/2024 2:13,VH_1,1,1925,89.3,49.6,0.91
1/1/2024 2:14,VH_35,1,1954,76.8,44.2,1.24
1/1/2024 2:15,VH_37,5,2300,92.6,38.2,1.13
1/1/2024 2:16,VH_47,5,2287,98.3,50.8,0.53
1/1/2024 2:17,VH_14,4,2318,89.7,38.4,0.73
1/1/2024 2:18,VH_3,1,2378,104.7,42,1.43
1/1/2024 2:19,VH_1,1,1914,97.8,44,1.24
1/1/2024 2:20,VH_5,1,1834,79.5,50,0.88
1/1/2024 2:21,VH_26,1,2318,84.5,42.4,0.7
1/1/2024 2:22,VH_14,3,2010,92.3,40.4,0.75
1/1/2024 2:23,VH_39,2,1728,73.3,45.8,1.1
1/1/2024 2:24,VH_27,2,2491,93.4,43.9,1.4
1/1/2024 2:25,VH_9,4,2618,72.4,42.7,1.38
1/1/2024 2:26,VH_15,3,2667,100.2,46.1,0.68
1/1/2024 2:27,VH_15,1,2256,99.1,39,0.94
1/1/2024 2:28,VH_26,1,2387,95,36.4,0.83
1/1/2024 2:29,VH_42,5,2610,83.2,55.7,1.03
1/1/2024 2:30,VH_13,5,2007,91.7,45.5,0.73
1/1/2024 2:31,VH_32,4,2533,84.9,45.9,0.89
1/1/2024 2:32,VH_39,1,2282,79.7,41.1,0.83
1/1/2024 2:33,VH_49,4,2474,86.6,49.5,1.1
1/1/2024 2:34,VH_32,3,2255,97,42.3,0.9
1/1/2024 2:35,VH_4,2,2588,90.4,31.1,0.93
1/1/2024 2:36,VH_30,1,2267,104.5,42.2,1.1
1/1/2024 2:37,VH_37,3,1754,97.7,43.6,1.33
1/1/2024 2:38,VH_23,1,2635,96.6,44.1,1.42
1/1/2024 2:39,VH_39,5,1915,73.9,44,1.09
1/1/2024 2:40,VH_45,4,2575,87.1,41.8,0.98
1/1/2024 2:41,VH_15,5,2172,79.4,41.3,1.26
1/1/2024 2:42,VH_43,2,2552,88.2,43.5,1.23
1/1/2024 2:43,VH_29,5,2540,83.1,36.8,1.18
1/1/2024 2:44,VH_36,1,2329,86.2,35.2,0.68
1/1/2024 2:45,VH_13,5,2352,100.6,45.5,1.24
1/1/2024 2:46,VH_32,1,2326,94.8,45.6,1.07
1/1/2024 2:47,VH_7,2,1595,100.1,49.4,0.82
1/1/2024 2:48,VH_22,5,2235,74,43.7,0.87
1/1/2024 2:49,VH_28,4,1865,90.6,39,1.12
1/1/2024 2:50,VH_2,4,2251,99.7,35.3,0.5
1/1/2024 2:51,VH_42,4,1857,105.1,40.5,0.97
1/1/2024 2:52,VH_45,5,1844,74.5,47.1,0.87
1/1/2024 2:53,VH_6,5,2681,86.5,52.2,0.85
1/1/2024 2:54,VH_28,5,2520,100.3,45.3,0.91
1/1/2024 2:55,VH_28,1,2198,88.1,38.9,0.7
1/1/2024 2:56,VH_44,2,2255,80.9,40.6,1.21
1/1/2024 2:57,VH_44,4,2125,74.5,40.8,0.57
1/1/2024 2:58,VH_20,1,2370,80.5,43,1.03
1/1/2024 2:59,VH_30,4,1997,73.1,50.6,0.83
1/1/2024 3:00,VH_11,1,2498,90.6,51,1.4
1/1/2024 3:01,VH_28,5,2124,99,44.1,1
1/1/2024 3:02,VH_25,4,2074,77.4,45.9,0.58
1/1/2024 3:03,VH_39,5,2206,92.6,41,1.11
1/1/2024 3:04,VH_33,4,2022,98.5,36.5,0.78
1/1/2024 3:05,VH_1,3,2298,90,53.9,1.2
1/1/2024 3:06,VH_27,1,2038,73.9,33.4,1.12
1/1/2024 3:07,VH_13,3,2340,93.9,35.8,1.29
1/1/2024 3:08,VH_41,1,2564,89.5,54,1.04
1/1/2024 3:09,VH_3,2,1984,88.4,45.1,1.16
1/1/2024 3:10,VH_39,4,2160,84.5,39.4,1.01
1/1/2024 3:11,VH_6,2,2338,90.9,48.4,0.88
1/1/2024 3:12,VH_8,2,2069,95.1,48.9,1.21
1/1/2024 3:13,VH_27,1,2339,113.9,38.3,0.75
1/1/2024 3:14,VH_9,3,2366,91.1,42.3,0.99
1/1/2024 3:15,VH_37,5,2524,105.1,49.4,0.89
1/1/2024 3:16,VH_33,1,2018,93.6,40.9,1.17
1/1/2024 3:17,VH_42,5,1917,89,46.4,0.81
1/1/2024 3:18,VH_44,2,2107,91.5,52.1,0.92
1/1/2024 3:19,VH_24,5,1909,77.8,33,1.01
1/1/2024 3:20,VH_15,3,2369,93.1,43.3,1.3
1/1/2024 3:21,VH_32,1,1851,70.1,46.3,0.89
1/1/2024 3:22,VH_32,3,2899,81.4,36,0.92
1/1/2024 3:23,VH_24,3,2588,91.1,42.4,0.73
1/1/2024 3:24,VH_41,1,2203,101.9,50.2,0.8
1/1/2024 3:25,VH_49,3,2460,104.3,41.5,1.08
1/1/2024 3:26,VH_49,4,1708,87.6,37.6,1.01
1/1/2024 3:27,VH_12,4,2957,91.6,50.7,1.01
1/1/2024 3:28,VH_39,4,2022,99.8,47.2,1.35
1/1/2024 3:29,VH_2,5,2163,76.7,44.7,0.67
1/1/2024 3:30,VH_3,3,1643,94,44.5,1.46
1/1/2024 3:31,VH_49,1,2345,81.7,50.1,1.24
1/1/2024 3:32,VH_37,1,1868,88.3,46.5,0.93
1/1/2024 3:33,VH_49,5,2230,85.4,48.2,1.08
1/1/2024 3:34,VH_17,1,2036,94.4,41.5,0.86
1/1/2024 3:35,VH_49,4,1876,95.5,35.4,1.06
1/1/2024 3:36,VH_2,3,1958,98.9,48.1,1.43
1/1/2024 3:37,VH_2,1,2267,93.5,50.5,0.87
1/1/2024 3:38,VH_28,1,1815,91.7,43.9,0.95
1/1/2024 3:39,VH_23,2,1975,108.5,49.4,0.85
1/1/2024 3:40,VH_37,2,2398,74.8,43.3,0.88
1/1/2024 3:41,VH_32,2,2980,107,44.5,0.92
1/1/2024 3:42,VH_33,3,2343,87.1,53.8,0.78
1/1/2024 3:43,VH_1,4,1924,95.7,43.5,0.95
1/1/2024 3:44,VH_19,4,2089,86.7,43.2,1.01
1/1/2024 3:45,VH_2,4,2209,83,35.7,0.92
1/1/2024 3:46,VH_44,3,2095,94.8,48.5,0.54
1/1/2024 3:47,VH_26,3,2470,100.4,41.5,0.97
1/1/2024 3:48,VH_32,2,2265,94.7,45.7,0.99
1/1/2024 3:49,VH_6,1,2472,84.6,43.4,1.38
1/1/2024 3:50,VH_32,5,2105,126.1,42.8,1.01
1/1/2024 3:51,VH_4,5,2597,102,44.4,1.19
1/1/2024 3:52,VH_11,1,2150,99.3,44.8,0.91
1/1/2024 3:53,VH_17,2,1908,86.5,50.9,1.26
1/1/2024 3:54,VH_38,1,2853,83.7,52.6,0.81
1/1/2024 3:55,VH_24,1,1652,87.2,48.3,1.1
1/1/2024 3:56,VH_5,5,1978,100.8,51.4,1.17
1/1/2024 3:57,VH_34,2,2011,80.1,49.3,1.14
1/1/2024 3:58,VH_6,3,2952,79.3,47.5,1.43
1/1/2024 3:59,VH_22,5,2742,95.4,52.3,0.88
1/1/2024 4:00,VH_11,3,2648,93.2,38.5,1.28
1/1/2024 4:01,VH_48,2,2100,82.3,41.6,1.23
1/1/2024 4:02,VH_16,1,2927,79.1,40.9,1.01
1/1/2024 4:03,VH_33,4,2310,104.4,43.5,1.37
1/1/2024 4:04,VH_9,4,2493,93.6,48.4,0.97
1/1/2024 4:05,VH_6,2,2253,76.4,39.4,1
1/1/2024 4:06,VH_16,4,2185,77.1,47.5,1
1/1/2024 4:07,VH_29,3,2124,86.4,42.1,0.75
1/1/2024 4:08,VH_3,4,2137,97.3,43.3,1.15
1/1/2024 4:09,VH_20,2,2382,96,46,1.12
1/1/2024 4:10,VH_36,2,2310,101.3,53.4,0.98
1/1/2024 4:11,VH_19,3,2190,75.1,41.4,1.35
1/1/2024 4:12,VH_26,4,2652,92.2,44.6,0.91
1/1/2024 4:13,VH_3,4,1309,104.3,39.6,0.65
1/1/2024 4:14,VH_19,1,2352,103.3,41.4,1.38
1/1/2024 4:15,VH_20,5,2415,93.6,39.6,1.2
1/1/2024 4:16,VH_32,2,2544,113.5,46.2,1.13
1/1/2024 4:17,VH_7,1,2180,96.1,47.1,0.93
1/1/2024 4:18,VH_41,2,2262,100.4,48.4,1.07
1/1/2024 4:19,VH_33,1,2495,90.4,41.2,0.75
1/1/2024 4:20,VH_40,5,2647,82.2,47.5,0.95
1/1/2024 4:21,VH_39,1,2109,81.2,45.6,0.82
1/1/2024 4:22,VH_18,2,2280,91.8,44.7,1.05
1/1/2024 4:23,VH_40,4,2703,87.9,38.8,1.18
1/1/2024 4:24,VH_1,2,1562,72.3,45.8,0.79
1/1/2024 4:25,VH_11,3,1992,79.7,45.9,1.14
1/1/2024 4:26,VH_28,3,2639,86.8,45.5,1.04
1/1/2024 4:27,VH_25,3,2527,97.3,47,1.14
1/1/2024 4:28,VH_50,3,2356,89.8,48.5,0.95
1/1/2024 4:29,VH_23,5,2065,89.3,39.5,1.14
1/1/2024 4:30,VH_31,4,1935,80.1,43.9,0.86
1/1/2024 4:31,VH_30,4,2022,90.2,47.6,0.66
1/1/2024 4:32,VH_42,2,2664,103.2,43.7,0.71
1/1/2024 4:33,VH_35,1,2011,91.6,49.8,0.9
1/1/2024 4:34,VH_7,2,2230,74.9,45.5,0.68
1/1/2024 4:35,VH_16,2,1973,77.5,35.2,1.31
1/1/2024 4:36,VH_26,2,2452,95.9,49.2,0.98
1/1/2024 4:37,VH_48,2,2038,87.8,44.4,1.18
1/1/2024 4:38,VH_49,4,2170,89.3,36.2,1.16
1/1/2024 4:39,VH_2,1,1694,83.9,43.7,1
1/1/2024 4:40,VH_1,2,1715,95,38.7,1.71
1/1/2024 4:41,VH_48,4,2202,87,48.8,1.59
1/1/2024 4:42,VH_12,2,1802,88.1,44.8,1.28
1/1/2024 4:43,VH_5,3,2831,81.5,40.4,0.82
1/1/2024 4:44,VH_37,2,1581,99.2,49.1,1.29
1/1/2024 4:45,VH_32,2,1959,87.8,47.3,0.65
1/1/2024 4:46,VH_9,5,2205,96.1,43.8,1.28
1/1/2024 4:47,VH_41,3,2090,78.1,38.8,0.49
1/1/2024 4:48,VH_35,1,1868,107.3,40.8,0.94
1/1/2024 4:49,VH_19,2,1912,102.8,40.7,1.24
1/1/2024 4:50,VH_48,1,1902,70.9,48.7,1.08
1/1/2024 4:51,VH_16,3,2113,82,36.6,0.7
1/1/2024 4:52,VH_3,2,2785,94.8,44.8,1.03
1/1/2024 4:53,VH_20,5,2223,76.8,43.7,1.08
1/1/2024 4:54,VH_24,4,2554,88.7,50.2,1.04
1/1/2024 4:55,VH_33,5,2352,94.3,46.2,0.92
1/1/2024 4:56,VH_24,5,2534,88.2,47.7,1.17
1/1/2024 4:57,VH_11,4,1360,95.4,42.4,1.23
1/1/2024 4:58,VH_49,4,2108,83.1,38.8,0.97
1/1/2024 4:59,VH_8,4,2592,67.6,43.4,1.3
1/1/2024 5:00,VH_36,2,2028,99.8,48.9,0.97
1/1/2024 5:01,VH_38,1,2728,99.8,48.9,0.9
1/1/2024 5:02,VH_40,1,2645,115,42.8,1.27
1/1/2024 5:03,VH_20,4,2059,67.9,40.7,1.26
1/1/2024 5:04,VH_35,5,2049,97.5,39.7,0.88
1/1/2024 5:05,VH_48,3,1895,70.3,44.3,0.85
1/1/2024 5:06,VH_25,4,2011,107.6,45.7,1.35
1/1/2024 5:07,VH_35,5,1830,94.9,52.4,0.98
1/1/2024 5:08,VH_25,5,2328,80.5,45.6,1
1/1/2024 5:09,VH_29,2,1763,97.8,48.1,0.95
1/1/2024 5:10,VH_18,2,2381,84.5,41.1,1.26
1/1/2024 5:11,VH_46,1,2388,93,45.2,1.43
1/1/2024 5:12,VH_18,1,1701,92.1,45.7,1.01
1/1/2024 5:13,VH_2,3,2664,107.4,44.3,1.48
1/1/2024 5:14,VH_35,3,2354,108.1,44.9,0.89
1/1/2024 5:15,VH_16,3,2424,84,45.6,0.94
1/1/2024 5:16,VH_41,3,1972,100.6,47.4,1.13
1/1/2024 5:17,VH_36,5,2386,93.5,50.8,0.84
1/1/2024 5:18,VH_33,5,2537,75.9,33.7,1.13
1/1/2024 5:19,VH_4,1,2170,83,50.6,0.9
1/1/2024 5:20,VH_33,2,2800,113.4,36.4,0.69
1/1/2024 5:21,VH_14,2,2213,93.6,46.5,0.65
1/1/2024 5:22,VH_21,4,2542,100,56.8,0.94
1/1/2024 5:23,VH_48,5,2287,87.9,44.8,1.08
1/1/2024 5:24,VH_20,3,2375,84.6,45.9,0.73
1/1/2024 5:25,VH_8,3,1698,90.3,43.4,1.04
1/1/2024 5:26,VH_7,4,2311,87.3,48.3,1.04
1/1/2024 5:27,VH_3,2,1979,75.1,46.8,0.97
1/1/2024 5:28,VH_17,3,1946,80,41.6,0.81
1/1/2024 5:29,VH_33,2,2723,97.1,44.4,1.05
1/1/2024 5:30,VH_48,4,2135,86.2,39.4,0.97
1/1/2024 5:31,VH_12,2,1899,90.3,44.4,1.2
1/1/2024 5:32,VH_22,2,2092,92.3,42.9,0.74
1/1/2024 5:33,VH_22,2,1809,93.1,45.7,1.02
1/1/2024 5:34,VH_46,3,2630,101.5,41.5,0.75
1/1/2024 5:35,VH_30,1,1991,79,43.9,0.95
1/1/2024 5:36,VH_38,5,2358,95.7,45,0.78
1/1/2024 5:37,VH_38,2,2606,97.6,45.4,0.82
1/1/2024 5:38,VH_45,2,2049,99.9,46.4,1
1/1/2024 5:39,VH_8,2,2359,75.9,44.1,0.89
1/1/2024 5:40,VH_27,1,1890,92.5,41.1,1.29
1/1/2024 5:41,VH_27,4,2933,107.2,45.4,1.24
1/1/2024 5:42,VH_34,3,2480,89,44.1,1.16
1/1/2024 5:43,VH_21,1,2142,94.8,50.1,1.16
1/1/2024 5:44,VH_30,2,1968,97.8,50.8,1.03
1/1/2024 5:45,VH_33,1,2165,79.7,38.1,1.26
1/1/2024 5:46,VH_28,1,2098,108.3,48.1,0.94
1/1/2024 5:47,VH_47,1,2785,95,49.1,1.42
1/1/2024 5:48,VH_33,4,1832,95.2,38.3,0.81
1/1/2024 5:49,VH_5,5,2240,73.4,47.9,0.77
1/1/2024 5:50,VH_48,3,2194,97.9,49.5,0.72
1/1/2024 5:51,VH_19,4,2164,95.1,40.3,0.76
1/1/2024 5:52,VH_4,4,2167,106.2,43.8,0.67
1/1/2024 5:53,VH_35,5,2165,86.9,45.9,1.04
1/1/2024 5:54,VH_49,4,2461,80.1,47.9,1.17
1/1/2024 5:55,VH_17,1,2382,83.2,40.1,1.01
1/1/2024 5:56,VH_44,1,2325,85,50.8,0.72
1/1/2024 5:57,VH_28,2,1289,78.8,34.9,0.91
1/1/2024 5:58,VH_30,4,2289,102.9,51.6,1.17
1/1/2024 5:59,VH_29,2,1703,103.3,47.8,0.93
1/1/2024 6:00,VH_46,3,2393,88,41.9,0.84
1/1/2024 6:01,VH_6,1,2642,86.1,49.3,0.7
1/1/2024 6:02,VH_35,3,1922,71.8,39.8,0.92
1/1/2024 6:03,VH_41,5,2121,97,45.6,0.86
1/1/2024 6:04,VH_37,1,2020,106.5,46.2,0.98
1/1/2024 6:05,VH_24,3,2570,83.6,46.2,1.1
1/1/2024 6:06,VH_29,5,2228,88.8,40.8,0.94
1/1/2024 6:07,VH_49,3,2718,94.3,42.5,1.04
1/1/2024 6:08,VH_46,5,2324,107.2,45.6,1.09
1/1/2024 6:09,VH_31,5,2272,92,41.4,0.75
1/1/2024 6:10,VH_35,1,2220,92,46.4,1.38
1/1/2024 6:11,VH_33,2,2445,91.8,41.9,0.85
1/1/2024 6:12,VH_21,5,1678,75.7,50,1.1
1/1/2024 6:13,VH_32,5,2225,75.5,52.8,0.77
1/1/2024 6:14,VH_23,1,2178,81.9,43.5,1.02
1/1/2024 6:15,VH_33,2,2417,100.1,49.6,1.03
1/1/2024 6:16,VH_3,4,2143,86.6,43.9,1.33
1/1/2024 6:17,VH_18,4,1888,84.7,40.3,0.95
1/1/2024 6:18,VH_25,2,2202,84.5,42.9,1.26
1/1/2024 6:19,VH_42,3,1875,88.6,45.4,1.06
1/1/2024 6:20,VH_31,1,1622,107,36.1,1.37
1/1/2024 6:21,VH_3,2,2418,88.5,48.1,0.64
1/1/2024 6:22,VH_40,4,2373,82.1,45.4,1.1
1/1/2024 6:23,VH_46,5,2340,90.3,50,0.47
1/1/2024 6:24,VH_24,4,2590,107.6,48,0.99
1/1/2024 6:25,VH_50,5,2000,85,45.6,1.2
1/1/2024 6:26,VH_32,1,1770,78.2,43.2,1.29
1/1/2024 6:27,VH_47,5,2178,85,52.6,1.15
1/1/2024 6:28,VH_22,2,2095,91.3,55.8,0.94
1/1/2024 6:29,VH_23,5,1947,96.9,43.3,1.11
1/1/2024 6:30,VH_2,3,2176,100.1,50.2,1.5
1/1/2024 6:31,VH_27,2,2016,79.5,41.5,1.02
1/1/2024 6:32,VH_42,1,1649,80.5,42.1,1.19
1/1/2024 6:33,VH_2,2,2067,86.8,43.1,0.91
1/1/2024 6:34,VH_26,3,1859,96.8,48.4,1.21
1/1/2024 6:35,VH_17,1,2269,77.4,39.6,1.18
1/1/2024 6:36,VH_40,4,2003,83.9,52.7,0.88
1/1/2024 6:37,VH_33,3,2533,84.1,49.7,1.16
1/1/2024 6:38,VH_9,1,2681,99.4,48.3,1.16
1/1/2024 6:39,VH_43,5,2403,95.3,43.5,1.15
1/1/2024 6:40,VH_48,2,1734,99,49.1,0.99
1/1/2024 6:41,VH_39,1,2651,103.4,30.4,1.25
1/1/2024 6:42,VH_29,2,2672,86.9,47.2,0.81
1/1/2024 6:43,VH_42,5,2205,78.1,45.8,1
1/1/2024 6:44,VH_26,1,2596,78.2,35.6,1.02
1/1/2024 6:45,VH_35,4,2034,71.6,47,1.23
1/1/2024 6:46,VH_50,3,1640,85.4,48,0.81
1/1/2024 6:47,VH_25,1,1971,86.2,35.7,1.05
1/1/2024 6:48,VH_24,5,2718,97.9,39.1,0.9
1/1/2024 6:49,VH_13,1,1752,90.2,55.3,1.02
1/1/2024 6:50,VH_7,2,2199,85.1,44.1,1.08
1/1/2024 6:51,VH_36,1,2210,88.8,49.9,0.74
1/1/2024 6:52,VH_45,4,2046,79.6,50.6,1.25
1/1/2024 6:53,VH_20,1,2066,100.3,47,1.09
1/1/2024 6:54,VH_1,3,2221,82.1,50.1,0.83
1/1/2024 6:55,VH_8,1,2031,78.6,34.4,0.93
1/1/2024 6:56,VH_46,2,1773,98.2,43.8,1.3
1/1/2024 6:57,VH_16,1,2264,95.7,29.6,1.08
1/1/2024 6:58,VH_14,4,2522,72.8,36.3,0.81
1/1/2024 6:59,VH_12,5,2460,98.6,42.3,0.84
1/1/2024 7:00,VH_23,1,1957,82.6,41.7,1.12
1/1/2024 7:01,VH_15,1,1824,86.3,45.2,1.15
1/1/2024 7:02,VH_28,3,2114,91.9,44.9,1.07
1/1/2024 7:03,VH_34,4,2670,95.9,45.7,0.94
1/1/2024 7:04,VH_2,5,2393,94.5,45.9,1.16
1/1/2024 7:05,VH_32,2,2411,89.5,46.7,0.94
1/1/2024 7:06,VH_23,1,2466,85.8,40.2,0.83
